step,t,y,rho,u,v,p
1,0.00706318,3.87654,1.84,0,0,1e-09
1,0.00706318,3.92593,1.84,0,0,1e-09
1,0.00706318,3.97531,1.84,0,0,1e-09
50,0.320869,0.0246914,1.84,0,0,1e-09
50,0.320869,0.0740741,1.84,0,0,1e-09
50,0.320869,0.123457,1.84,0,0,1e-09
50,0.320869,0.17284,1.84,0,0,1e-09
50,0.320869,0.222222,1.84,0,0,1e-09
50,0.320869,0.271605,1.84,0,0,1e-09
50,0.320869,0.320988,1.84,0,0,1e-09
50,0.320869,0.37037,1.84,0,0,1e-09
50,0.320869,0.419753,1.84,0,0,1e-09
50,0.320869,0.469136,1.84,0,0,1e-09
50,0.320869,0.518519,1.84,0,0,1e-09
50,0.320869,0.567901,1.84,0,0,1e-09
50,0.320869,0.617284,1.84,0,0,1e-09
50,0.320869,0.666667,1.84,0,0,1e-09
50,0.320869,0.716049,1.84,0,0,1e-09
50,0.320869,0.765432,1.84,0,0,1e-09
50,0.320869,0.814815,1.84,0,0,1e-09
50,0.320869,0.864198,1.84,0,0,1e-09
50,0.320869,0.91358,1.84,0,0,1e-09
50,0.320869,0.962963,1.84,0,0,1e-09
50,0.320869,1.01235,1.84,0,0,1e-09
50,0.320869,1.06173,1.84,0,0,1e-09
50,0.320869,1.11111,1.84,0,0,1e-09
50,0.320869,1.16049,1.84,0,0,1e-09
50,0.320869,1.20988,1.84,0,0,1e-09
50,0.320869,1.25926,1.84,0,0,1e-09
50,0.320869,1.30864,1.84,0,0,1e-09
50,0.320869,1.35802,1.84,0,0,1e-09
50,0.320869,1.40741,1.84,0,0,1e-09
50,0.320869,1.45679,1.84,0,0,1e-09
50,0.320869,1.50617,1.84,0,0,1e-09
50,0.320869,1.55556,1.84,0,0,1e-09
50,0.320869,1.60494,1.84,0,0,1e-09
50,0.320869,1.65432,1.84,0,0,1e-09
50,0.320869,1.7037,1.84,0,0,1e-09
50,0.320869,1.75309,1.84,0,0,1e-09
50,0.320869,1.80247,1.84,0,0,1e-09
50,0.320869,1.85185,1.84,0,0,1e-09
50,0.320869,1.90123,1.84,0,0,1e-09
50,0.320869,1.95062,1.84,0,0,1e-09
50,0.320869,2,1.84,0,0,1e-09
50,0.320869,2.04938,1.84,0,0,1e-09
50,0.320869,2.09877,1.84,0,0,1e-09
50,0.320869,2.14815,1.84,0,0,1e-09
50,0.320869,2.19753,1.84,0,0,1e-09
50,0.320869,2.24691,1.84,0,0,1e-09
50,0.320869,2.2963,1.84,0,0,1e-09
50,0.320869,2.34568,1.84,0,0,1e-09
50,0.320869,2.39506,1.84,0,0,1e-09
50,0.320869,2.44444,1.84,0,0,1e-09
50,0.320869,2.49383,1.84,0,0,1e-09
50,0.320869,2.54321,1.84,0,0,1e-09
50,0.320869,2.59259,1.84,0,0,1e-09
50,0.320869,2.64198,1.84,0,0,1e-09
50,0.320869,2.69136,1.84,0,0,1e-09
50,0.320869,2.74074,1.84,0,0,1e-09
50,0.320869,2.79012,1.84,0,0,1e-09
50,0.320869,2.83951,1.84,0,0,1e-09
50,0.320869,2.88889,1.84,0,0,1e-09
50,0.320869,2.93827,1.84,0,0,1e-09
50,0.320869,2.98765,1.84,0,0,1e-09
50,0.320869,3.03704,1.84,0,0,1e-09
50,0.320869,3.08642,1.84,0,0,1e-09
50,0.320869,3.1358,1.84,0,0,1e-09
50,0.320869,3.18519,1.84,0,0,1e-09
50,0.320869,3.23457,1.84,0,0,1e-09
50,0.320869,3.28395,1.84,0,0,1e-09
50,0.320869,3.33333,1.84,0,0,1e-09
50,0.320869,3.38272,1.84,0,0,1e-09
50,0.320869,3.4321,1.84,0,0,1e-09
50,0.320869,3.48148,1.84,0,0,1e-09
50,0.320869,3.53086,1.84,0,0,1e-09
50,0.320869,3.58025,1.84,0,0,1e-09
50,0.320869,3.62963,1.84,0,0,1e-09
50,0.320869,3.67901,1.84,0,0,1e-09
50,0.320869,3.7284,1.84,0,0,1e-09
50,0.320869,3.77778,1.84,0,0,1e-09
50,0.320869,3.82716,1.84,0,0,1e-09
50,0.320869,3.87654,1.84,0,0,1e-09
50,0.320869,3.92593,1.84,0,0,1e-09
50,0.320869,3.97531,1.84,0,0,1e-09
100,0.627446,0.0246914,1.84,0,0,1e-09
100,0.627446,0.0740741,1.84,0,0,1e-09
100,0.627446,0.123457,1.84,0,0,1e-09
100,0.627446,0.17284,1.84,0,0,1e-09
100,0.627446,0.222222,1.84,0,0,1e-09
100,0.627446,0.271605,1.84,0,0,1e-09
100,0.627446,0.320988,1.84,0,0,1e-09
100,0.627446,0.37037,1.84,0,0,1e-09
100,0.627446,0.419753,1.84,0,0,1e-09
100,0.627446,0.469136,1.84,0,0,1e-09
100,0.627446,0.518519,1.84,0,0,1e-09
100,0.627446,0.567901,1.84,0,0,1e-09
100,0.627446,0.617284,1.84,0,0,1e-09
100,0.627446,0.666667,1.84,0,0,1e-09
100,0.627446,0.716049,1.84,0,0,1e-09
100,0.627446,0.765432,1.84,0,0,1e-09
100,0.627446,0.814815,1.84,0,0,1e-09
100,0.627446,0.864198,1.84,0,0,1e-09
100,0.627446,0.91358,1.84,0,0,1e-09
100,0.627446,0.962963,1.84,0,0,1e-09
100,0.627446,1.01235,1.84,0,0,1e-09
100,0.627446,1.06173,1.84,0,0,1e-09
100,0.627446,1.11111,1.84,0,0,1e-09
100,0.627446,1.16049,1.84,0,0,1e-09
100,0.627446,1.20988,1.84,0,0,1e-09
100,0.627446,1.25926,1.84,0,0,1e-09
100,0.627446,1.30864,1.84,0,0,1e-09
100,0.627446,1.35802,1.84,0,0,1e-09
100,0.627446,1.40741,1.84,0,0,1e-09
100,0.627446,1.45679,1.84,0,0,1e-09
100,0.627446,1.50617,1.84,0,0,1e-09
100,0.627446,1.55556,1.84,0,0,1e-09
100,0.627446,1.60494,1.84,0,0,1e-09
100,0.627446,1.65432,1.84,0,0,1e-09
100,0.627446,1.7037,1.84,0,0,1e-09
100,0.627446,1.75309,1.84,0,0,1e-09
100,0.627446,1.80247,1.84,0,0,1e-09
100,0.627446,1.85185,1.84,0,0,1e-09
100,0.627446,1.90123,1.84,0,0,1e-09
100,0.627446,1.95062,1.84,0,0,1e-09
100,0.627446,2,1.84,0,0,1e-09
100,0.627446,2.04938,1.84,0,0,1e-09
100,0.627446,2.09877,1.84,0,0,1e-09
100,0.627446,2.14815,1.84,0,0,1e-09
100,0.627446,2.19753,1.84,0,0,1e-09
100,0.627446,2.24691,1.84,0,0,1e-09
100,0.627446,2.2963,1.84,0,0,1e-09
100,0.627446,2.34568,1.84,0,0,1e-09
100,0.627446,2.39506,1.84,0,0,1e-09
100,0.627446,2.44444,1.84,0,0,1e-09
100,0.627446,2.49383,1.84,0,0,1e-09
100,0.627446,2.54321,1.84,0,0,1e-09
100,0.627446,2.59259,1.84,0,0,1e-09
100,0.627446,2.64198,1.84,0,0,1e-09
100,0.627446,2.69136,1.84,0,0,1e-09
100,0.627446,2.74074,1.84,0,0,1e-09
100,0.627446,2.79012,1.84,0,0,1e-09
100,0.627446,2.83951,1.84,0,0,1e-09
100,0.627446,2.88889,1.84,0,0,1e-09
100,0.627446,2.93827,1.84,0,0,1e-09
100,0.627446,2.98765,1.84,0,0,1e-09
100,0.627446,3.03704,1.84,0,0,1e-09
100,0.627446,3.08642,1.84,0,0,1e-09
100,0.627446,3.1358,1.84,0,0,1e-09
100,0.627446,3.18519,1.84,0,0,1e-09
100,0.627446,3.23457,1.84,0,0,1e-09
100,0.627446,3.28395,1.84,0,0,1e-09
100,0.627446,3.33333,1.84,0,0,1e-09
100,0.627446,3.38272,1.84,0,0,1e-09
100,0.627446,3.4321,1.84,0,0,1e-09
100,0.627446,3.48148,1.84,0,0,1e-09
100,0.627446,3.53086,1.84,0,0,1e-09
100,0.627446,3.58025,1.84,0,0,1e-09
100,0.627446,3.62963,1.84,0,0,1e-09
100,0.627446,3.67901,1.84,0,0,1e-09
100,0.627446,3.7284,1.84,0,0,1e-09
100,0.627446,3.77778,1.84,0,0,1e-09
100,0.627446,3.82716,1.84,0,0,1e-09
100,0.627446,3.87654,1.84,0,0,1e-09
100,0.627446,3.92593,1.84,0,0,1e-09
100,0.627446,3.97531,1.84,0,0,1e-09
150,0.926559,0.0246914,1.84,0,0,1e-09
150,0.926559,0.0740741,1.84,0,0,1e-09
150,0.926559,0.123457,1.84,0,0,1e-09
150,0.926559,0.17284,1.84,0,0,1e-09
150,0.926559,0.222222,1.84,0,0,1e-09
150,0.926559,0.271605,1.84,0,0,1e-09
150,0.926559,0.320988,1.84,0,0,1e-09
150,0.926559,0.37037,1.84,0,0,1e-09
150,0.926559,0.419753,1.84,0,0,1e-09
150,0.926559,0.469136,1.84,0,0,1e-09
150,0.926559,0.518519,1.84,0,0,1e-09
150,0.926559,0.567901,1.84,0,0,1e-09
150,0.926559,0.617284,1.84,0,0,1e-09
150,0.926559,0.666667,1.84,0,0,1e-09
150,0.926559,0.716049,1.84,0,0,1e-09
150,0.926559,0.765432,1.84,0,0,1e-09
150,0.926559,0.814815,1.84,0,0,1e-09
150,0.926559,0.864198,1.84,0,0,1e-09
150,0.926559,0.91358,1.84,0,0,1e-09
150,0.926559,0.962963,1.84,0,0,1e-09
150,0.926559,1.01235,1.84,0,0,1e-09
150,0.926559,1.06173,1.84,0,0,1e-09
150,0.926559,1.11111,1.84,0,0,1e-09
150,0.926559,1.16049,1.84,0,0,1e-09
150,0.926559,1.20988,1.84,0,0,1e-09
150,0.926559,1.25926,1.84,0,0,1e-09
150,0.926559,1.30864,1.84,0,0,1e-09
150,0.926559,1.35802,1.84,0,0,1e-09
150,0.926559,1.40741,1.84,0,0,1e-09
150,0.926559,1.45679,1.84,0,0,1e-09
150,0.926559,1.50617,1.84,0,0,1e-09
150,0.926559,1.55556,1.84,0,0,1e-09
150,0.926559,1.60494,1.84,0,0,1e-09
150,0.926559,1.65432,1.84,0,0,1e-09
150,0.926559,1.7037,1.84,0,0,1e-09
150,0.926559,1.75309,1.84,0,0,1e-09
150,0.926559,1.80247,1.84,0,0,1e-09
150,0.926559,1.85185,1.84,0,0,1e-09
150,0.926559,1.90123,1.84,0,0,1e-09
150,0.926559,1.95062,1.84,0,0,1e-09
150,0.926559,2,1.84,0,0,1e-09
150,0.926559,2.04938,1.84,0,0,1e-09
150,0.926559,2.09877,1.84,0,0,1e-09
150,0.926559,2.14815,1.84,0,0,1e-09
150,0.926559,2.19753,1.84,0,0,1e-09
150,0.926559,2.24691,1.84,0,0,1e-09
150,0.926559,2.2963,1.84,0,0,1e-09
150,0.926559,2.34568,1.84,0,0,1e-09
150,0.926559,2.39506,1.84,0,0,1e-09
150,0.926559,2.44444,1.84,0,0,1e-09
150,0.926559,2.49383,1.84,0,0,1e-09
150,0.926559,2.54321,1.84,0,0,1e-09
150,0.926559,2.59259,1.84,0,0,1e-09
150,0.926559,2.64198,1.84,0,0,1e-09
150,0.926559,2.69136,1.84,0,0,1e-09
150,0.926559,2.74074,1.84,0,0,1e-09
150,0.926559,2.79012,1.84,0,0,1e-09
150,0.926559,2.83951,1.84,0,0,1e-09
150,0.926559,2.88889,1.84,0,0,1e-09
150,0.926559,2.93827,1.84,0,0,1e-09
150,0.926559,2.98765,1.84,0,0,1e-09
150,0.926559,3.03704,1.84,0,0,1e-09
150,0.926559,3.08642,1.84,0,0,1e-09
150,0.926559,3.1358,1.84,0,0,1e-09
150,0.926559,3.18519,1.84,0,0,1e-09
150,0.926559,3.23457,1.84,0,0,1e-09
150,0.926559,3.28395,1.84,0,0,1e-09
150,0.926559,3.33333,1.84,0,0,1e-09
150,0.926559,3.38272,1.84,0,0,1e-09
150,0.926559,3.4321,1.84,0,0,1e-09
150,0.926559,3.48148,1.84,0,0,1e-09
150,0.926559,3.53086,1.84,0,0,1e-09
150,0.926559,3.58025,1.84,0,0,1e-09
150,0.926559,3.62963,1.84,0,0,1e-09
150,0.926559,3.67901,1.84,0,0,1e-09
150,0.926559,3.7284,1.84,0,0,1e-09
150,0.926559,3.77778,1.84,0,0,1e-09
150,0.926559,3.82716,1.84,0,0,1e-09
150,0.926559,3.87654,1.84,0,0,1e-09
150,0.926559,3.92593,1.84,0,0,1e-09
150,0.926559,3.97531,1.84,0,0,1e-09
200,1.22003,0.0246914,1.84,0,0,1e-09
200,1.22003,0.0740741,1.84,0,0,1e-09
200,1.22003,0.123457,1.84,0,0,1e-09
200,1.22003,0.17284,1.84,0,0,1e-09
200,1.22003,0.222222,1.84,0,0,1e-09
200,1.22003,0.271605,1.84,0,0,1e-09
200,1.22003,0.320988,1.84,0,0,1e-09
200,1.22003,0.37037,1.84,0,0,1e-09
200,1.22003,0.419753,1.84,0,0,1e-09
200,1.22003,0.469136,1.84,0,0,1e-09
200,1.22003,0.518519,1.84,0,0,1e-09
200,1.22003,0.567901,1.84,0,0,1e-09
200,1.22003,0.617284,1.84,0,0,1e-09
200,1.22003,0.666667,1.84,0,0,1e-09
200,1.22003,0.716049,1.84,0,0,1e-09
200,1.22003,0.765432,1.84,0,0,1e-09
200,1.22003,0.814815,1.84,0,0,1e-09
200,1.22003,0.864198,1.84,0,0,1e-09
200,1.22003,0.91358,1.84,0,0,1e-09
200,1.22003,0.962963,1.84,0,0,1e-09
200,1.22003,1.01235,1.84,0,0,1e-09
200,1.22003,1.06173,1.84,0,0,1e-09
200,1.22003,1.11111,1.84,0,0,1e-09
200,1.22003,1.16049,1.84,0,0,1e-09
200,1.22003,1.20988,1.84,0,0,1e-09
200,1.22003,1.25926,1.84,0,0,1e-09
200,1.22003,1.30864,1.84,0,0,1e-09
200,1.22003,1.35802,1.84,0,0,1e-09
200,1.22003,1.40741,1.84,0,0,1e-09
200,1.22003,1.45679,1.84,0,0,1e-09
200,1.22003,1.50617,1.84,0,0,1e-09
200,1.22003,1.55556,1.84,0,0,1e-09
200,1.22003,1.60494,1.84,0,0,1e-09
200,1.22003,1.65432,1.84,0,0,1e-09
200,1.22003,1.7037,1.84,0,0,1e-09
200,1.22003,1.75309,1.84,0,0,1e-09
200,1.22003,1.80247,1.84,0,0,1e-09
200,1.22003,1.85185,1.84,0,0,1e-09
200,1.22003,1.90123,1.84,0,0,1e-09
200,1.22003,1.95062,1.84,0,0,1e-09
200,1.22003,2,1.84,0,0,1e-09
200,1.22003,2.04938,1.84,0,0,1e-09
200,1.22003,2.09877,1.84,0,0,1e-09
200,1.22003,2.14815,1.84,0,0,1e-09
200,1.22003,2.19753,1.84,0,0,1e-09
200,1.22003,2.24691,1.84,0,0,1e-09
200,1.22003,2.2963,1.84,0,0,1e-09
200,1.22003,2.34568,1.84,0,0,1e-09
200,1.22003,2.39506,1.84,0,0,1e-09
200,1.22003,2.44444,1.84,0,0,1e-09
200,1.22003,2.49383,1.84,0,0,1e-09
200,1.22003,2.54321,1.84,0,0,1e-09
200,1.22003,2.59259,1.84,0,0,1e-09
200,1.22003,2.64198,1.84,0,0,1e-09
200,1.22003,2.69136,1.84,0,0,1e-09
200,1.22003,2.74074,1.84,0,0,1e-09
200,1.22003,2.79012,1.84,0,0,1e-09
200,1.22003,2.83951,1.84,0,0,1e-09
200,1.22003,2.88889,1.84,0,0,1e-09
200,1.22003,2.93827,1.84,0,0,1e-09
200,1.22003,2.98765,1.84,0,0,1e-09
200,1.22003,3.03704,1.84,0,0,1e-09
200,1.22003,3.08642,1.84,0,0,1e-09
200,1.22003,3.1358,1.84,0,0,1e-09
200,1.22003,3.18519,1.84,0,0,1e-09
200,1.22003,3.23457,1.84,0,0,1e-09
200,1.22003,3.28395,1.84,0,0,1e-09
200,1.22003,3.33333,1.84,0,0,1e-09
200,1.22003,3.38272,1.84,0,0,1e-09
200,1.22003,3.4321,1.84,0,0,1e-09
200,1.22003,3.48148,1.84,0,0,1e-09
200,1.22003,3.53086,1.84,0,0,1e-09
200,1.22003,3.58025,1.84,0,0,1e-09
200,1.22003,3.62963,1.84,0,0,1e-09
200,1.22003,3.67901,1.84,0,0,1e-09
200,1.22003,3.7284,1.84,0,0,1e-09
200,1.22003,3.77778,1.84,0,0,1e-09
200,1.22003,3.82716,1.84,0,0,1e-09
200,1.22003,3.87654,1.84,0,0,1e-09
200,1.22003,3.92593,1.84,0,0,1e-09
200,1.22003,3.97531,1.84,0,0,1e-09
250,1.50939,0.0246914,1.84,0,0,1e-09
250,1.50939,0.0740741,1.84,0,0,1e-09
250,1.50939,0.123457,1.84,0,0,1e-09
250,1.50939,0.17284,1.84,0,0,1e-09
250,1.50939,0.222222,1.84,0,0,1e-09
250,1.50939,0.271605,1.84,0,0,1e-09
250,1.50939,0.320988,1.84,0,0,1e-09
250,1.50939,0.37037,1.84,0,0,1e-09
250,1.50939,0.419753,1.84,0,0,1e-09
250,1.50939,0.469136,1.84,0,0,1e-09
250,1.50939,0.518519,1.84,0,0,1e-09
250,1.50939,0.567901,1.84,0,0,1e-09
250,1.50939,0.617284,1.84,0,0,1e-09
250,1.50939,0.666667,1.84,0,0,1e-09
250,1.50939,0.716049,1.84,0,0,1e-09
250,1.50939,0.765432,1.84,0,0,1e-09
250,1.50939,0.814815,1.84,0,0,1e-09
250,1.50939,0.864198,1.84,0,0,1e-09
250,1.50939,0.91358,1.84,0,0,1e-09
250,1.50939,0.962963,1.84,0,0,1e-09
250,1.50939,1.01235,1.84,0,0,1e-09
250,1.50939,1.06173,1.84,0,0,1e-09
250,1.50939,1.11111,1.84,0,0,1e-09
250,1.50939,1.16049,1.84,0,0,1e-09
250,1.50939,1.20988,1.84,0,0,1e-09
250,1.50939,1.25926,1.84,0,0,1e-09
250,1.50939,1.30864,1.84,0,0,1e-09
250,1.50939,1.35802,1.84,0,0,1e-09
250,1.50939,1.40741,1.84,0,0,1e-09
250,1.50939,1.45679,1.84,0,0,1e-09
250,1.50939,1.50617,1.84,0,0,1e-09
250,1.50939,1.55556,1.84,0,0,1e-09
250,1.50939,1.60494,1.84,0,0,1e-09
250,1.50939,1.65432,1.84,0,0,1e-09
250,1.50939,1.7037,1.84,0,0,1e-09
250,1.50939,1.75309,1.84,0,0,1e-09
250,1.50939,1.80247,1.84,0,0,1e-09
250,1.50939,1.85185,1.84,0,0,1e-09
250,1.50939,1.90123,1.84,0,0,1e-09
250,1.50939,1.95062,1.84,0,0,1e-09
250,1.50939,2,1.84,0,0,1e-09
250,1.50939,2.04938,1.84,0,0,1e-09
250,1.50939,2.09877,1.84,0,0,1e-09
250,1.50939,2.14815,1.84,0,0,1e-09
250,1.50939,2.19753,1.84,0,0,1e-09
250,1.50939,2.24691,1.84,0,0,1e-09
250,1.50939,2.2963,1.84,0,0,1e-09
250,1.50939,2.34568,1.84,0,0,1e-09
250,1.50939,2.39506,1.84,0,0,1e-09
250,1.50939,2.44444,1.84,0,0,1e-09
250,1.50939,2.49383,1.84,0,0,1e-09
250,1.50939,2.54321,1.84,0,0,1e-09
250,1.50939,2.59259,1.84,0,0,1e-09
250,1.50939,2.64198,1.84,0,0,1e-09
250,1.50939,2.69136,1.84,0,0,1e-09
250,1.50939,2.74074,1.84,0,0,1e-09
250,1.50939,2.79012,1.84,0,0,1e-09
250,1.50939,2.83951,1.84,0,0,1e-09
250,1.50939,2.88889,1.84,0,0,1e-09
250,1.50939,2.93827,1.84,0,0,1e-09
250,1.50939,2.98765,1.84,0,0,1e-09
250,1.50939,3.03704,1.84,0,0,1e-09
250,1.50939,3.08642,1.84,0,0,1e-09
250,1.50939,3.1358,1.84,0,0,1e-09
250,1.50939,3.18519,1.84,0,0,1e-09
250,1.50939,3.23457,1.84,0,0,1e-09
250,1.50939,3.28395,1.84,0,0,1e-09
250,1.50939,3.33333,1.84,0,0,1e-09
250,1.50939,3.38272,1.84,0,0,1e-09
250,1.50939,3.4321,1.84,0,0,1e-09
250,1.50939,3.48148,1.84,0,0,1e-09
250,1.50939,3.53086,1.84,0,0,1e-09
250,1.50939,3.58025,1.84,0,0,1e-09
250,1.50939,3.62963,1.84,0,0,1e-09
250,1.50939,3.67901,1.84,0,0,1e-09
250,1.50939,3.7284,1.84,0,0,1e-09
250,1.50939,3.77778,1.84,0,0,1e-09
250,1.50939,3.82716,1.84,0,0,1e-09
250,1.50939,3.87654,1.84,0,0,1e-09
250,1.50939,3.92593,1.84,0,0,1e-09
250,1.50939,3.97531,1.84,0,0,1e-09
300,1.79508,0.0246914,1.84,0,0,1e-09
300,1.79508,0.0740741,1.84,0,0,1e-09
300,1.79508,0.123457,1.84,0,0,1e-09
300,1.79508,0.17284,1.84,0,0,1e-09
300,1.79508,0.222222,1.84,0,0,1e-09
300,1.79508,0.271605,1.84,0,0,1e-09
300,1.79508,0.320988,1.84,0,0,1e-09
300,1.79508,0.37037,1.84,0,0,1e-09
300,1.79508,0.419753,1.84,0,0,1e-09
300,1.79508,0.469136,1.84,0,0,1e-09
300,1.79508,0.518519,1.84,0,0,1e-09
300,1.79508,0.567901,1.84,0,0,1e-09
300,1.79508,0.617284,1.84,0,0,1e-09
300,1.79508,0.666667,1.84,0,0,1e-09
300,1.79508,0.716049,1.84,0,0,1e-09
300,1.79508,0.765432,1.84,0,0,1e-09
300,1.79508,0.814815,1.84,0,0,1e-09
300,1.79508,0.864198,1.84,0,0,1e-09
300,1.79508,0.91358,1.84,0,0,1e-09
300,1.79508,0.962963,1.84,0,0,1e-09
300,1.79508,1.01235,1.84,0,0,1e-09
300,1.79508,1.06173,1.84,0,0,1e-09
300,1.79508,1.11111,1.84,0,0,1e-09
300,1.79508,1.16049,1.84,0,0,1e-09
300,1.79508,1.20988,1.84,0,0,1e-09
300,1.79508,1.25926,1.84,0,0,1e-09
300,1.79508,1.30864,1.84,0,0,1e-09
300,1.79508,1.35802,1.84,0,0,1e-09
300,1.79508,1.40741,1.84,0,0,1e-09
300,1.79508,1.45679,1.84,0,0,1e-09
300,1.79508,1.50617,1.84,0,0,1e-09
300,1.79508,1.55556,1.84,0,0,1e-09
300,1.79508,1.60494,1.84,0,0,1e-09
300,1.79508,1.65432,1.84,0,0,1e-09
300,1.79508,1.7037,1.84,0,0,1e-09
300,1.79508,1.75309,1.84,0,0,1e-09
300,1.79508,1.80247,1.84,0,0,1e-09
300,1.79508,1.85185,1.84,0,0,1e-09
300,1.79508,1.90123,1.84,0,0,1e-09
300,1.79508,1.95062,1.84,0,0,1e-09
300,1.79508,2,1.84,0,0,1e-09
300,1.79508,2.04938,1.84,0,0,1e-09
300,1.79508,2.09877,1.84,0,0,1e-09
300,1.79508,2.14815,1.84,0,0,1e-09
300,1.79508,2.19753,1.84,0,0,1e-09
300,1.79508,2.24691,1.84,0,0,1e-09
300,1.79508,2.2963,1.84,0,0,1e-09
300,1.79508,2.34568,1.84,0,0,1e-09
300,1.79508,2.39506,1.84,0,0,1e-09
300,1.79508,2.44444,1.84,0,0,1e-09
300,1.79508,2.49383,1.84,0,0,1e-09
300,1.79508,2.54321,1.84,0,0,1e-09
300,1.79508,2.59259,1.84,0,0,1e-09
300,1.79508,2.64198,1.84,0,0,1e-09
300,1.79508,2.69136,1.84,0,0,1e-09
300,1.79508,2.74074,1.84,0,0,1e-09
300,1.79508,2.79012,1.84,0,0,1e-09
300,1.79508,2.83951,1.84,0,0,1e-09
300,1.79508,2.88889,1.84,0,0,1e-09
300,1.79508,2.93827,1.84,0,0,1e-09
300,1.79508,2.98765,1.84,0,0,1e-09
300,1.79508,3.03704,1.84,0,0,1e-09
300,1.79508,3.08642,1.84,0,0,1e-09
300,1.79508,3.1358,1.84,0,0,1e-09
300,1.79508,3.18519,1.84,0,0,1e-09
300,1.79508,3.23457,1.84,0,0,1e-09
300,1.79508,3.28395,1.84,0,0,1e-09
300,1.79508,3.33333,1.84,0,0,1e-09
300,1.79508,3.38272,1.84,0,0,1e-09
